A Cave | Dungeon | 0x018B0191 [50 -10 0] -0.003491 0 0 -0.999994
Caulnalain Menhir Ring Portal | Dungeon | 0x02DD0175 [110 -90 0] 1 0 0 0
Caulnalain Menhir Ring Portal | Dungeon | 0x02DE0196 [120 -140 6] 1 0 0 0
Caulnalain Portal | Dungeon | 0x02DF0375 [2.16 -63.34 -5.9] 0.707107 0 0 -0.707107
Caulnalain Vestibule Portal | Dungeon | 0x02DC035D [280 -140 0] 1 0 0 0
Cave | Dungeon | 0x00EE03B4 [160.222 -294.414 0.005] 1 0 0 0
Cave | Dungeon | 0x01BD0107 [20.48 -79.33 0] 0.999452 0 0 -0.033103
Cave | Dungeon | 0x01F1010A [20 -40 0] 0.67559 0 0 -0.737277
Cave of Alabree | Dungeon | 0x016201D1 [60 -10 12] 0 0 0 -1
Cavern Exit | Dungeon | 0x009C01D2 [366.11 -89.9331 -23.995] 0.732359 0 0 0.680919
Cavern Exit | Dungeon | 0x00D2015C [120.053 -129.107 -29.995] -0.038219 0 0 0.999269
Cavern Exit | Dungeon | 0x00D3015C [120.091 -133.986 -29.995] -0.011896 0 0 0.999929
Cavern Exit | Dungeon | 0x00D3045F [55.512 -227.127 -11.995] -0.948589 0 0 -0.31651
Cavern Exit | Dungeon | 0x00D4015C [120.003 -129.662 -29.995] 0 0 0 -1
Cavernous Olthoi Chasm | Dungeon | 0x5D4D0360 [40 -106 -12] 1 0 0 0
Cavernous Refuge | Dungeon | 0x576D0154 [20 -20 13.3262] 1 0 0 0
Cedraic Court Portal | Dungeon | 0x89000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Celcynd Cottages Portal | Dungeon | 0x8BF20036 [160.888 131.7 2.758] -0.995769 0 0 -0.091893
Celcynd Grotto Portal | Dungeon | 0x86000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Celdiseth Court Portal | Dungeon | 0x92000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Celdiseth's Beach Settlement Portal | Dungeon | 0xA4EB000F [36.753 163.649 0.73] 0.567211 0 0 -0.823572
Celdiseth's Portal | Dungeon | 0x9AEB001E [76 141 20] 0.382683 0 0 -0.92388
Celestial Hand Freebooter Keep Black Market Portal | Dungeon | 0xF92F0266 [46.7594 75.1555 94.805] 0.421771 0 0 -0.906702
Celestial Hand Gauntlet | Dungeon | 0x596B0118 [130 -160 0.005] -0.707107 0 0 -0.707107
Celestial Hand Northwatch Castle Black Market Portal | Dungeon | 0x9EE50266 [121.238 20.8707 28.805] -0.881212 0 0 -0.472722
Celestial Hand Stronghold | Dungeon | 0x00B70294 [110 -20 0.005] 1 0 0 0
Cells of the Black Book | Dungeon | 0x008902FF [220 0 0] 0 0 0 -1
Center of the Singularity Caul | Dungeon | 0x09090003 [1.3 54.1 14] 0 0 0 -1
Central Olthoi Arcade | Dungeon | 0x5B44013A [129.954 -491.673 -47.995] 1 0 0 0
Central Tuatara Plains Portal | Dungeon | 0x21C5001D [73.5 118.7 71.7] 0.422618 0 0 -0.906308
Chakron Flux Portal | Dungeon | 0x02AF034E [180 0 0] -0.707107 0 0 -0.707107
Chakron Gate | Dungeon | 0x02AE0100 [59.2 -181.5 -12] 0.439155 0 0 -0.898411
Chakron Gate Portal | Dungeon | 0x02AE02B3 [130 -6.3 0] 0.006981 0 0 -0.999976
Chalicmere Castle Portal | Dungeon | 0x376A0022 [110 33 35] 0.707107 0 0 -0.707107
Chamber of Air | Dungeon | 0x00C9010C [10 -70 -5.995] 1 0 0 0
Chamber of Earth | Dungeon | 0x00C9014E [140 -70 -5.995] 1 0 0 0
Chamber of Scrolls | Dungeon | 0x00C901A1 [80 -360 0.005] 1 0 0 0
Chamber of the High Priest's First | Dungeon | 0x00DD0108 [10.009 -169.962 0.005] 0.706015 0 0 -0.7081
Chamber of the High Priest's Second | Dungeon | 0x00DD0106 [9.40494 -120.053 0.005] 0.6967 0 0 -0.717356
Chamber of the High Priest's Third | Dungeon | 0x00DD0104 [10.0574 -70.0025 0.005] 0.711891 0 0 -0.70229
Chamber of Water | Dungeon | 0x00C90174 [270 -70 -5.995] 1 0 0 0
Chapel of Mowen | Dungeon | 0x594A0148 [60 -181.555 0.005] 1 0 0 0
Charbone Ridge Portal | Dungeon | 0xA57F001A [85.01 43.5 56.921] 0.999887 0 0 -0.015009
Charged Niche | Dungeon | 0x595E020F [120 -130 0.005] 1 0 0 0
Charged Refuge | Dungeon | 0x576A01B4 [39.9071 -269.055 0.015] 1 0 0 0
Charnhold Portal | Dungeon | 0x84B0001D [95.724 113.372 90.005] -0.581896 0 0 -0.813264
Chi Zou Cottages Portal | Dungeon | 0xD65A003F [168.899 163.348 19.93] -0.396828 0 0 -0.917893
Citadel Apex | Dungeon | 0xBAC60015 [58.5 109 382.75] 0 0 0 -1
Citadel Library | Dungeon | 0x56530113 [31.097 -10.963 0.005] -0.722846 0 0 -0.691009
Citadel Surface | Dungeon | 0xBBC70025 [102.5 107 71.005] 0.707107 0 0 -0.707107
Citadel Valley | Dungeon | 0xBAC7001A [76.659 43.866 160] 0.707107 0 0 -0.707107
Citadel Valley | Dungeon | 0xBBC60026 [105 130 90] 1 0 0 0
Citadel Valley | Dungeon | 0xBBC80003 [23.0796 60.7007 160.589] 0.043619 0 0 -0.999048
Citadel Valley | Dungeon | 0xBBC80012 [60 35 120] 0 0 0 -1
Citadel Valley | Dungeon | 0xBCC7000C [35 85 95] -0.707107 0 0 -0.707107
Cliffside Overlook Portal | Dungeon | 0xE53F0026 [0 0 0] 1 0 0 0
Cold Feet Portal | Dungeon | 0xC4A80024 [96.2 75.7 60] -0.286525 0 0 -0.958073
Coldeve Festival Stone Portal | Dungeon | 0xBC17003E [169.1 133.2 173.9] 0.601815 0 0 -0.798636
Colier | Dungeon | 0xAEC60027 [97.4944 165.113 110.121] 1 0 0 0
Colier Mine | Dungeon | 0x01AE032C [76.59 -97.36 0] 0.99814 0 0 -0.060961
Colier Mine Portal | Dungeon | 0x01AE020A [113.633 -29.448 -11.995] -0.73779 0 0 -0.67503
Colier Mine Portal | Dungeon | 0x01AE0212 [110.017 -46.404 -11.995] 0.01521 0 0 -0.999884
Colier Mine Portal | Dungeon | 0x01AE025A [163.697 -30.18 -11.995] 0.72818 0 0 -0.685386
Colier Mine Portal | Dungeon | 0x01AE026F [170.375 -45.972 -11.995] -0.004337 0 0 -0.999991
Colier View Hill Portal | Dungeon | 0xB2C90025 [111.631 113.52 145.688] -0.007487 0 0 -0.999972
Collegium Acumen Manim Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Aegis Medi Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Artificae Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Conjurae Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Entropica Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Geomancy Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Heiromancy Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Ignae Fatae Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Occultus Anteroom | Dungeon | 0x004401FA [70 -7 0.005] 0 0 0 -1
Collegium Occultus Portal | Dungeon | 0x00440201 [70 -157 0.005] 0 0 0 -1
Collegium Organis Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Planar Abstraction Conveyance | Dungeon | 0x00D60210 [60 -336.598 6.005] 1 0 0 0
Collegium Prae Auspi Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Collegium Tempae Invectae Conveyance | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Colossus Foundry Portal | Dungeon | 0x545701C5 [160 -90 0] -0.707107 0 0 -0.707107
Commander's Quarters | Dungeon | 0x01E40157 [61 -20 -17.995] -0.707107 0 0 -0.707107
Consumed Wraith's Tower | Dungeon | 0x1F2A0035 [151.1 102.9 200] 0.92388 0 0 -0.382684
Consuming Flames | Dungeon | 0x5747015E [105.25 -100 0.005] -0.707107 0 0 -0.707107
Consuming Flames | Dungeon | 0x5847015E [105.25 -100 0.005] -0.707107 0 0 -0.707107
Consuming Flames | Dungeon | 0x5947015E [105.275 -100 0.005] 0.707107 0 0 -0.707107
Consuming Flames | Dungeon | 0x5A47015E [105.275 -100 0.005] 0.707107 0 0 -0.707107
Convergent Median | Dungeon | 0x536B0206 [56.956 -53.304 0] 0.92388 0 0 -0.382684
Copper Legion Keep | Dungeon | 0x001801C7 [90 -8 0.005] 0 0 0 -1
Coral Caves | Dungeon | 0x003303D2 [97.637 -197.395 0.005] 1 0 0 0
Coral Tunnels | Dungeon | 0x02EC02BD [50 -27.765 6.005] 0 0 0 -1
Coral Tunnels | Dungeon | 0x02EC031F [260 -27.765 6.005] 0 0 0 -1
Corcima Castle Central Ward | Dungeon | 0x5F460189 [39.247 0.038 0] -0.02677 0 0 -0.999642
Corcima Castle Copper Ward | Dungeon | 0x3FE7000B [36.17 71.54 160] 0.828964 0 0 -0.559301
Corcima Castle Gold Ward | Dungeon | 0x40E6002A [121.81 35.59 160.005] 0.979804 0 0 0.19996
Corcima Castle Platinum Ward | Dungeon | 0x40E80024 [96.69 87.17 200] -0.029987 0 0 -0.99955
Corcima Castle Silver Ward | Dungeon | 0x41E70036 [157.87 121.15 160.005] -0.517419 0 0 -0.855732
Corrupted Catacombs | Dungeon | 0x00BA0348 [121.007 -99.094 0.005] 0.92388 0 0 -0.382683
Corrupted Energy | Dungeon | 0x59520258 [210 -370 0.05] 1 0 0 0
Count Dardante's Island | Dungeon | 0x4FF1001A [84.4807 43.2229 84.006] -1 0 0 0
Count Phainor's Tomb | Dungeon | 0x58620396 [240 -390 0.005] 1 0 0 0
Cragstone | Town | 0xBB9F0040 [169.358 168.251 54.005] 0.578683 0 0 -0.815552
Cragstone Advance Camp Portal | Dungeon | 0x027B0200 [50 -30 6] 0 0 0 -1
Cragstone Advance Tower Portal | Dungeon | 0xB59E0101 [153.4 133.3 116] 0.707107 0 0 -0.707107
Cragstone Farms Portal | Dungeon | 0xB598003D [172.139 118.162 43.315] -0.590669 0 0 -0.806914
Cragstone Library Portal | Dungeon | 0xBA9F0100 [37.1 184 56] 0 0 0 -1
Cragstone Meeting Hall Portal | Dungeon | 0x01210126 [30 -60 6] 1 0 0 0
Cragstone Middle Guard Camp Portal | Dungeon | 0x02780231 [140 -470 0] 0.707107 0 0 -0.707107
Cragstone Middle Guard Tower Portal | Dungeon | 0xB19F0101 [57.6 58 122] 0.866025 0 0 -0.5
Cragstone Portal | Dungeon | 0xBB9F0040 [169.358 168.251 54.005] 0.578684 0 0 -0.815552
Cragstone Portal | Dungeon | 0xBD9F0039 [176.5 22.6 2] -0.748956 0 0 -0.66262
Cragstone Reinforcements Camp Portal | Dungeon | 0x02750158 [90 -610 0] 1 0 0 0
Cragstone Reinforcements Tower Portal | Dungeon | 0xAEA00101 [130.4 129.6 151] 0.92388 0 0 -0.382684
Cragstone Waterfall Portal | Dungeon | 0xB6A30011 [56 1.1 1.9] -0.97437 0 0 -0.224951
Crater Caves Dungeon | Dungeon | 0x019A02CA [40 -150 0] -0.043619 0 0 -0.999048
Crater Lair | Dungeon | 0x018C0191 [40 -20 0.005] 0 0 0 -1
Crater Pathway | Dungeon | 0x01A70108 [17.571 -509.205 0] -0.999899 0 0 -0.014206
Crater Pathway | Dungeon | 0x01A701AA [32.4 -8.01 138] -0.022801 0 0 -0.99974
Crater Pathway | Dungeon | 0xC6A9002A [133.3 32.3 43.7] 0.989016 0 0 -0.147809
Crater Lake Village | POI | 0x90D00107 95.521004 84 277.204987 -0.707107 0 0 -0.707107
Creepy Canyons | Dungeon | 0x00310338 [150.537 -200.946 -17.995] 0.998491 0 0 -0.054907
Creepy Chambers Portal | Dungeon | 0x004A01F3 [40.123 -51.475 6.005] 1 0 0 0
Crescent Lane Cottages Portal | Dungeon | 0xD26D001A [76.45 45.134 44.005] 0.999787 0 0 -0.02062
Crescent Moon Veranda Portal | Dungeon | 0x8C000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Crescent Ridge Cottages Portal | Dungeon | 0xE53F0026 [0 0 0] 1 0 0 0
Crosspaths Portal | Dungeon | 0x01FB0206 [92 -20 0] 0.707107 0 0 -0.707107
Crumbling Empyrean Mansion | Dungeon | 0x2AB90030 [123.242 179.868 20.005] 1 0 0 0
Crumbling Empyrean Mansion | Dungeon | 0x66790275 [13.6 -70 0] 1 0 0 0
Crypt of Adhorix Portal | Dungeon | 0x003802F4 [230 -60 0.005] 1 0 0 0
Crypt of Ashen Tears | Dungeon | 0x01FA034C [80 -59 6] 0.938191 0 0 -0.346117
Crypt of Crimson Night | Dungeon | 0x009B021C [40 -570 0.005] 1 0 0 0
Crypts of the Sand Kings | Dungeon | 0x2D110027 [108 148 56] 1 0 0 0
Crystal Core | Dungeon | 0x58610166 [70 -220 0.005] 1 0 0 0
Crystal Mine | Dungeon | 0x614902DE [30 -16.951 0.005] 1 0 0 0
Crystal Mine Extreme | Dungeon | 0x564B0233 [9.18582 -152.244 0.005] 1 0 0 0
Crystal Mine High | Dungeon | 0x564C0233 [9.18582 -152.244 0.005] 1 0 0 0
Crystal Mine Low | Dungeon | 0x564E0233 [9.18582 -152.244 0.005] 1 0 0 0
Crystal Mine Mid | Dungeon | 0x564D0233 [9.18582 -152.244 0.005] 1 0 0 0
Crystal Mine New Isparians | Dungeon | 0x564F0233 [9.18582 -152.244 0.005] 1 0 0 0
Crystalline Portal | Dungeon | 0x00C703A5 [100 -160 0.005] 1 0 0 0
Crystalline Portal | Dungeon | 0x00C703A5 [100 -160 0.005] 1 0 0 0
Crystalline Portal | Dungeon | 0x2E6C0104 [-281.661 96.9824 -53.595] 0.707107 0 0 -0.707107
Crystalline Portal | Dungeon | 0x316D002A [132 36 258.005] 1 0 0 0
Crystalline Portal | Dungeon | 0x870401F6 [120.05 -134.69 -155.99] -0.005 0 0 0.99
Crystalline Portal | Dungeon | 0x87040402 [10 -50 6] 0.999962 0 0 -0.008727
Crystalline Portal | Dungeon | 0x88030972 [270.479 -162.398 2.03016] 0.999731 0 0 0.023196
Curator of Torment's Study | Dungeon | 0x587002FA [220 -100 0.055] 1 0 0 0
Cursed Swamp Portal | Dungeon | 0x0108020C [50 -50 0] 1 0 0 0
Dagger Vale Portal | Dungeon | 0xA3E7001D [77.642 107.465 55.535] 0.508613 0 0 -0.860995
Daiklos Dungeon | Dungeon | 0x0185020F [80 -90 0] -0.714473 0 0 -0.699663
Dame Tolani Villas Portal | Dungeon | 0x5EB40025 [108.071 104.863 24.744] -0.138983 0 0 -0.990295
Damp Caverns Portal | Dungeon | 0x014D0191 [70 -60 0] 1 0 0 0
Danby's Outpost | POI | 0x5A9C0004 [23.5 77.1 6] 0 0 0 -1
Dangerous Cave | Dungeon | 0xB59D001F [88.8931 154.448 56.005] 1 0 0 0
Darasa Villas Portal | Dungeon | 0x74AB0025 [100.952 107.761 80.005] 0.809437 0 0 -0.587206
Darawyll Village Portal | Dungeon | 0xB28B0013 [60.09 61.243 21.109] 0.917178 0 0 -0.398477
Dardante's Keep | Dungeon | 0x004805D4 [198.943 -80.007 24.005] -0.702713 0 0 -0.711473
Dardante's Workshop | Dungeon | 0x007F02EB [10 -833 0.005] 1 0 0 0
Dark Design | Dungeon | 0x002D0373 [200.142 -4.32755 0.005] -0.024927 0 0 -0.999689
Dark Isle | Dungeon | 0xC8E9000B [38.069 60.3064 0.337795] -0.066654 0 0 -0.997776
Dark Monolith | Dungeon | 0x60490326 [50 -112.929 0.1] 1 0 0 0
Dark Monolith Caverns | Dungeon | 0x008A0125 [19.3 -19.3 0.005] 0.382683 0 0 -0.92388
Dark Mosswart Halls | Dungeon | 0x017801F5 [80 -110 0.005] 1 0 0 0
Dark Towers | Dungeon | 0x1E290015 [54.4 102.2 94] 0.92388 0 0 -0.382684
Dark Tree Crystal Mine | Dungeon | 0x56490196 [100 -90 0.005] 1 0 0 0
Darkened Halls Portal | Dungeon | 0x014401B4 [30 -50 12] 0 0 0 -1
Darktide Festival Stone Portal | Dungeon | 0x0E34003F [175.5 146.8 34] 0.913545 0 0 -0.406737
Dawnsong Festival Stone Portal | Dungeon | 0x480F0030 [123.2 188.3 120] 0.25038 0 0 -0.968148
Decrepit Tower | Dungeon | 0x644A03AB [140 -50 0] 1 0 0 0
Deep Caverns | Dungeon | 0x60490326 [50 -112.929 0.1] 1 0 0 0
Deep Guruk Caverns | Dungeon | 0x007A055C [30 -100 0.005] 0.921061 0 0 -0.389418
Deep Mukkir Nest | Dungeon | 0x005405C3 [59.9318 -413.711 0.005] 0.021953 0 0 -0.999759
Deep Olthoi Chasm | Dungeon | 0x5D4C0251 [-0.07 -74.2 0.005] 0 0 0 -1
Deeper Catacombs | Dungeon | 0x0088037B [59.456 -59.5175 0.005] -0.92388 0 0 -0.382683
Deeper Catacombs | Dungeon | 0x574D0160 [140 -20 0.005] 1 0 0 0
Deeper Catacombs | Dungeon | 0x574E0285 [155.786 -30.0984 0.005] 1 0 0 0
Deeper Catacombs | Dungeon | 0x574F0290 [240.119 -25.5348 0.005] 1 0 0 0
Deeper Catacombs | Dungeon | 0x5750028A [199.44 -40.5438 0.005] 1 0 0 0
Deeper Catacombs | Dungeon | 0x57510251 [3.87091 -90.3084 0.005] 1 0 0 0
Deeper Catacombs | Dungeon | 0x57520260 [9.80751 -126.222 0.005] 1 0 0 0
Deeper Catacombs | Dungeon | 0x57530253 [10.1896 -92.1511 0.005] 1 0 0 0
Deeper Caves | Dungeon | 0x00D109C7 [160 -150 -14.982] 1 0 0 0
Deepest Caves | Dungeon | 0x00D102B7 [160 -150 -26.982] 1 0 0 0
Deepvale Cottages Portal | Dungeon | 0x61AC001C [72.766 78.076 42.005] 0.838799 0 0 -0.544441
Defiant Prey Cottages Portal | Dungeon | 0x82C7001E [83.037 123.944 97.743] 0.35033 0 0 -0.936626
Defiled Temple Asylum | Dungeon | 0x000A0164 [20 -110 0.005] 0.707107 0 0 -0.707107
Defiled Temple Lower Wing | Dungeon | 0x00080164 [20 -110 0.005] 0.707107 0 0 -0.707107
Defiled Temple Middle Wing | Dungeon | 0x01EC0164 [20 -110 0.005] 0.707107 0 0 -0.707107
Defiled Temple Portals | Dungeon | 0xA8DF0010 [32.6 175.9 29.9] 0.963495 0 0 -0.267726
Defiled Temple Upper Wing | Dungeon | 0x00090164 [20 -110 0.005] 0.707107 0 0 -0.707107
Demon Swarm Matron | Dungeon | 0x00B60129 [220 -193 -11.995] 1 0 0 0
Demonsbane Cottages Portal | Dungeon | 0xA78A001D [94.16 113.895 32.005] -0.233072 0 0 -0.97246
Dereth  | Dungeon | 0xA5D30026 [107.908 121.287 404.005] 0 0 0 1
Dericost Ruin | Dungeon | 0x015F0223 [90 -90 0.005] -0.004204 0 0 -0.999991
Dericost Vault | Dungeon | 0x0071045A [80 -230 0.005] 1 0 0 0
Desert Boundary Cottages Portal | Dungeon | 0x74880003 [2.762 50.053 60.005] 0.060299 0 0 -0.99818
Desert Citadel Portal | Dungeon | 0x61480152 [140 -130 0] 1 0 0 0
Desert Dwelling | Dungeon | 0x58630252 [181.62 -80.047 21.511] 0.707107 0 0 -0.707107
Desert March Portal | Dungeon | 0x02AA022F [50 -500 30] 1 0 0 0
Desert Mine | Dungeon | 0x0182017B [40 -30 0] 0.702774 0 0 -0.711413
Desert Mirage Cottages Portal | Dungeon | 0x906C0024 [117.514 80.169 18.005] -0.975812 0 0 -0.218612
Desert Northern Edge Portal | Dungeon | 0x9795003C [180 75 76.3] -0.999962 0 0 -0.008727
Desert Ridge Border | Dungeon | 0xB178001C [74.9 75.4 22.3] -0.71934 0 0 -0.694659
Desert Ruin Portal | Dungeon | 0x016701A7 [110 -40 6] 0.707107 0 0 -0.707107
Desert Vanguard Cottages Portal | Dungeon | 0x8E48000D [31.37 108.365 14.005] 0.647641 0 0 -0.761945
Deserted Ruin Portal | Dungeon | 0x0166015A [10 -30 18] 0.707107 0 0 -0.707107
Desolation Beach  Portal | Dungeon | 0x49E60004 [19.429 80.472 0.005] -0.920259 0 0 -0.391309
Destroyed Ahurenga Portal | Dungeon | 0x0FB90009 [43 8.6 0.005] -0.980098 0 0 -0.198513
Destroyed Al-Jalima Portal | Dungeon | 0x8588002C [120.359 95.47 90.049] 1 0 0 0
Destroyed Baishi Portal | Dungeon | 0xCE410007 [12.6 152.8 55.1] -0.544639 0 0 -0.838671
Destroyed Eastham Portal | Dungeon | 0xCE940035 [151.053 112.61 17.417] -0.936577 0 0 -0.350461
Destroyed Glenden Wood Portal | Dungeon | 0xA0A40025 [96.302 119.847 59.955] 0.707107 0 0 -0.707107
Destroyed Lin Portal | Dungeon | 0xDC3C0011 [59.72 10.774 18.958] -0.358368 0 0 -0.93358
Destroyed Lytelthorpe Portal | Dungeon | 0xC0800007 [11.723 155.56 33.028] -0.402363 0 0 -0.91548
Destroyed Mayoi Portal | Dungeon | 0xE6320021 [107.417 10.763 29.908] -0.642788 0 0 -0.766044
Destroyed Plateau Portal | Dungeon | 0x49B70021 [100.1 20.8 238.6] -0.587785 0 0 -0.809017
Destroyed Portal to Al-Arqas | Dungeon | 0x8F58003B [183.851 60.183 9.326] 0.707107 0 0 -0.707107
Destroyed Portal to Arwic | Dungeon | 0xC6A90009 [46.805 4.219 42.005] 1 0 0 0
Destroyed Portal to Bluespire | Dungeon | 0x21B00017 [48.19 165.89 0.005] -0.083617 0 0 -0.996498
Destroyed Portal to Cragstone | Dungeon | 0xBB9F0040 [169.358 168.251 54.005] 0.578683 0 0 -0.815552
Destroyed Portal to Eastwatch | Dungeon | 0x49F00013 [70 70 170.005] 0.67559 0 0 -0.737277
Destroyed Portal to Greenspire | Dungeon | 0x2BB5003C [178.958 86.57 0.005] 0.352348 0 0 -0.935869
Destroyed Portal to Hebian-To | Dungeon | 0xE64E002F [138.304 161.905 20.04] 0.92388 0 0 -0.382683
Destroyed Portal to Holtburg | Dungeon | 0xA9B40019 [84 7.1 94] 0.996917 0 0 -0.078459
Destroyed Portal to Kara | Dungeon | 0xBA170039 [181.2 3.2 167.7] -0.848048 0 0 -0.529919
Destroyed Portal to Khayyaban | Dungeon | 0x9F440012 [90 24.553 31.885] -0.782608 0 0 -0.622515
Destroyed Portal to Kryst | Dungeon | 0xE822002A [132.7 37.9 20.1] -0.866025 0 0 -0.5
Destroyed Portal to Nanto | Dungeon | 0xE63E0022 [96.96 37.722 74.542] 0 0 0 -1
Destroyed Portal to Neydisa Castle | Dungeon | 0x95D60033 [146.9 71.3 99.8] -0.731354 0 0 -0.681998
Destroyed Portal to Redspire | Dungeon | 0x17B2002A [132.623 25.809 44.005] 0.998483 0 0 -0.055063
Destroyed Portal to Rithwic | Dungeon | 0xC98C0028 [113.666 190.259 22.005] -0.707107 0 0 -0.707107
Destroyed Portal to Samsur | Dungeon | 0x977B000C [25.811 73.853 0.005] 0.92995 0 0 -0.367686
Destroyed Portal to Sanamar | Dungeon | 0x33D90015 [59.1 100.3 52] 0 0 0 -1
Destroyed Portal to Shoushi | Dungeon | 0xDA55001D [84.8 99 20] 1 0 0 0
Destroyed Portal to Tou-Tou | Dungeon | 0xF5590034 [152.59 80.8 20.005] 0.92388 0 0 -0.382683
Destroyed Portal to Westwatch | Dungeon | 0x23DA002C [139.907 91.1329 2.005] -0.457591 0 0 -0.889163
Destroyed Portal to Xarabydun | Dungeon | 0x934B0021 [108.3 6.1 18.1] -0.964557 0 0 -0.263873
Destroyed Portal to Yanshi | Dungeon | 0xB9720021 [119.528 1.661 24.005] 1 0 0 0
Destroyed Portal to Yaraq | Dungeon | 0x7D64000D [31.9 104.6 11.9] 0.577145 0 0 -0.816642
Destroyed Portal to Zaikhal | Dungeon | 0x80900013 [64.863 55.687 124.005] -0.929882 0 0 -0.367857
Destroyed Qalaba'r Portal | Dungeon | 0x9722003A [168.354 24.618 102.005] -0.92279 0 0 -0.385302
Destroyed Sawato Portal | Dungeon | 0xC95B0001 [14.8 0.3 12] 0.930418 0 0 -0.366501
Destroyed Stonehold Portal | Dungeon | 0x64D5000B [30 50 78] 0.843391 0 0 -0.5373
Destroyed Tufa Portal | Dungeon | 0x876C0008 [2 186.9 18] -0.707107 0 0 -0.707107
Destroyed Uziz Portal | Dungeon | 0xA260003C [182.919 87.934 20.005] -0.363463 0 0 -0.931609
Devana Portal | Dungeon | 0xA97D001B [76.1 70.665 18.005] 0.959656 0 0 -0.281178
Device Room Portal | Dungeon | 0x00C0019C [80 -90 0.005] 0 0 0 -1
Dillo Butte Settlement Portal | Dungeon | 0x9C8D0033 [150.027 66.824 108.436] 0.607591 0 0 -0.79425
Dire's Edge Portal | Dungeon | 0x3B9C002B [125.943 53.815 53.984] 0.09753 0 0 -0.995233
Director's Chambers Portal | Dungeon | 0x02940101 [0 -70 0] 0.707107 0 0 -0.707107
Direland Volcano Portal | Dungeon | 0x2E320029 [129.9 12.9 132] 0.25038 0 0 -0.968148
Direlands Desert Edge Portal | Dungeon | 0x231D0029 [125 20 56] 0.707107 0 0 -0.707107
Direlands Desert Northeast Portal | Dungeon | 0x3518002F [127 158 12] -0.173648 0 0 -0.984808
Direlands Gear Knight Resistance Camp | Dungeon | 0x21700031 [145.507 14.367 178.005] 1 0 0 0
Direlands Midland Portal | Dungeon | 0x2E110031 [155.536 10.249 56.005] 1 0 0 0
Direlands North Landbridge Portal | Dungeon | 0x36940026 [96.3 140 87] -0.819152 0 0 -0.573577
Direlands Northwest Shore Portal | Dungeon | 0x0D86002E [125.2 132 5.6] 1 0 0 0
Direlands South Landbridge Portal | Dungeon | 0x6717001B [81.1 48.8 2.7] 0.939693 0 0 -0.34202
Direlands Southeast Shore | Dungeon | 0x52260007 [5.6 155 0] 0.819152 0 0 -0.573577
Direlands Southwest Shore Portal | Dungeon | 0x1B130008 [1 170 0] 1 0 0 0
Direlands Valleys Portal | Dungeon | 0x30490007 [5.6 154.5 27] 1 0 0 0
Dires' Door Estates Portal | Dungeon | 0x6AE10011 [61.848 11.864 58.028] 0.96384 0 0 -0.266482
Direvale Villas Portal | Dungeon | 0x63A8002D [120.954 119.335 55.95] -0.094595 0 0 -0.995516
Disaster Maze | Dungeon | 0x01A60214 [90 -30 0] -0.678557 0 0 -0.734547
Dissolving Grasp | Dungeon | 0x57470176 [176.5 -90 0.005] -0.707107 0 0 -0.707107
Dissolving Grasp | Dungeon | 0x58470176 [176.5 -90 0.005] -0.707107 0 0 -0.707107
Dissolving Grasp | Dungeon | 0x59470176 [176.5 -90.25 0.005] 0.707107 0 0 -0.707107
Dissolving Grasp | Dungeon | 0x5A470176 [176.5 -90.25 0.005] 0.707107 0 0 -0.707107
Djebel al-Nar Cottages Portal | Dungeon | 0x9A6B000B [47.553 63.591 60.005] 0.88303 0 0 -0.469318
Djinaya Wind Cottages Portal | Dungeon | 0x8D630015 [59.665 113.519 9.625] 0.716028 0 0 -0.698072
Domino's Lodge, Cragstone | Dungeon | 0x02EC0133 [40 0 0] 1 0 0 0
Domino's Lodge, Hebian-to | Dungeon | 0x02EB0133 [40 0 0] 1 0 0 0
Domino's Lodge, Zaikhal | Dungeon | 0x02EA0133 [40 0 0] 1 0 0 0
Dovetail Valley Villas Portal | Dungeon | 0x8C9D0026 [102.795 132.329 88.982] 0.49539 0 0 -0.868671
Down to Surface | Dungeon | 0x492D000F [38 160 5.33833] 1 0 0 0
Dragon's Power | Dungeon | 0x644901A3 [416.14 -70.4372 -5.995] 1 0 0 0
Driftwood Cottages Portal | Dungeon | 0xE53F0026 [0 0 0] 1 0 0 0
